model,shape,family,target,predictor_margin,calibration_cases,calibration_grid_feasible_rate,unstructured_fraction_mean,minimum_structured_fraction_mean
smol360,960x960,raw,0.9,0.2572916666666667,18,1.0,0.7557291666666667,0.875
smol360,960x960,raw,0.925,0.2489583333333334,18,1.0,0.8018518518518518,0.9166666666666666
smol360,960x960,raw,0.95,0.18229166666666674,18,1.0,0.8519675925925926,0.9333333333333333
smol360,960x960,raw,0.975,0.1489583333333333,18,0.3333333333333333,0.9097800925925925,0.9499999999999998
tiny11,2048x2048,bound,0.5,0.11992187500000001,18,1.0,0.23326280381944445,0.3277777777777778
tiny11,2048x2048,bound,0.55,0.1474609375,18,1.0,0.2697211371527778,0.3666666666666667
tiny11,2048x2048,bound,0.6,0.19365234375,18,1.0,0.30810546875,0.4138888888888889
tiny11,2048x2048,bound,0.65,0.1921875,18,1.0,0.348388671875,0.4583333333333333
tiny11,2048x2048,bound,0.7,0.23974609375,18,1.0,0.3912217881944444,0.5083333333333333
tiny11,2048x2048,bound,0.75,0.2873046875,18,1.0,0.4367947048611111,0.5833333333333334
tiny11,2048x2048,bound,0.8,0.3314453125,18,1.0,0.4859754774305556,0.6361111111111111
tiny11,2048x2048,bound,0.85,0.3736328125,18,1.0,0.540771484375,0.7027777777777778
tiny11,2048x2048,bound,0.9,0.44287109375,18,1.0,0.6075575086805556,0.7777777777777778
tiny11,2048x2048,bound,0.925,0.47529296875000004,18,1.0,0.65087890625,0.8277777777777778
tiny11,2048x2048,bound,0.95,0.46494140625,18,1.0,0.7147081163194444,0.8638888888888889
tiny11,2048x2048,bound,0.975,0.36787109375000004,18,0.6666666666666666,0.8152669270833334,0.9138888888888889
tiny11,2048x2048,diag,0.5,0.23291015625,18,1.0,0.05905490451388889,0.2138888888888889
tiny11,2048x2048,diag,0.55,0.27314453125,18,1.0,0.07286241319444445,0.25
tiny11,2048x2048,diag,0.6,0.297265625,18,1.0,0.09339735243055555,0.28055555555555556
tiny11,2048x2048,diag,0.65,0.29453125,18,1.0,0.1254340277777778,0.3194444444444444
tiny11,2048x2048,diag,0.7,0.30263671875,18,1.0,0.1679958767361111,0.36666666666666664
tiny11,2048x2048,diag,0.75,0.34140625,18,1.0,0.21915690104166666,0.41111111111111115
tiny11,2048x2048,diag,0.8,0.3767578125,18,1.0,0.2789442274305556,0.4694444444444445
tiny11,2048x2048,diag,0.85,0.45576171875000004,18,1.0,0.3485514322916667,0.5388888888888889
tiny11,2048x2048,diag,0.9,0.5759765625,18,1.0,0.4310438368055556,0.6222222222222222
tiny11,2048x2048,diag,0.925,0.60546875,18,1.0,0.4794650607638889,0.6722222222222222
tiny11,2048x2048,diag,0.95,0.626171875,18,1.0,0.5352105034722222,0.7333333333333333
tiny11,2048x2048,diag,0.975,0.63515625,18,1.0,0.604248046875,0.8027777777777777
tiny11,2048x2048,raw,0.5,0.18779296875,18,1.0,0.23738606770833334,0.3611111111111111
tiny11,2048x2048,raw,0.55,0.2333984375,18,1.0,0.2756076388888889,0.41111111111111115
tiny11,2048x2048,raw,0.6,0.27607421875,18,1.0,0.3172200520833333,0.46111111111111114
tiny11,2048x2048,raw,0.65,0.31240234375,18,1.0,0.3624945746527778,0.5138888888888888
tiny11,2048x2048,raw,0.7,0.34140625,18,1.0,0.4123263888888889,0.5666666666666667
tiny11,2048x2048,raw,0.75,0.35380859375,18,1.0,0.4700792100694444,0.6277777777777778
tiny11,2048x2048,raw,0.8,0.36542968750000004,18,1.0,0.5411783854166666,0.6972222222222223
tiny11,2048x2048,raw,0.85,0.30185546875,18,1.0,0.6235622829861112,0.7611111111111111
tiny11,2048x2048,raw,0.9,0.25380859375,18,1.0,0.7177191840277778,0.8333333333333334
tiny11,2048x2048,raw,0.925,0.23847656250000004,18,1.0,0.7706434461805556,0.8777777777777778
tiny11,2048x2048,raw,0.95,0.18886718749999998,18,1.0,0.8289116753472222,0.9083333333333334
tiny11,2048x2048,raw,0.975,0.17656249999999996,18,0.6666666666666666,0.8957790798611112,0.9499999999999998
tiny11,2048x256,bound,0.5,0.369921875,18,1.0,0.2608778211805556,0.44999999999999996
tiny11,2048x256,bound,0.55,0.38623046875,18,1.0,0.3036024305555556,0.49166666666666675
tiny11,2048x256,bound,0.6,0.4134765625,18,1.0,0.3499620225694444,0.5388888888888889
tiny11,2048x256,bound,0.65,0.4224609375,18,1.0,0.39892578125,0.5833333333333334
tiny11,2048x256,bound,0.7,0.40361328124999996,18,1.0,0.4500054253472222,0.6361111111111111
tiny11,2048x256,bound,0.75,0.38974609375,18,1.0,0.5033908420138888,0.6805555555555556
tiny11,2048x256,bound,0.8,0.586328125,18,1.0,0.5591362847222222,0.7555555555555556
tiny11,2048x256,bound,0.85,0.5814453125,18,1.0,0.6179741753472222,0.8083333333333332
tiny11,2048x256,bound,0.9,0.60947265625,18,1.0,0.6817762586805556,0.8527777777777777
tiny11,2048x256,bound,0.925,0.64921875,18,1.0,0.7167426215277778,0.9083333333333332
tiny11,2048x256,bound,0.95,0.769921875,18,1.0,0.7558051215277778,0.9333333333333333
tiny11,2048x256,bound,0.975,0.6892578125,18,0.16666666666666666,0.8252766927083334,0.9444444444444444
tiny11,2048x256,diag,0.5,0.39462890625,18,1.0,0.10956488715277778,0.35
tiny11,2048x256,diag,0.55,0.436328125,18,1.0,0.12782118055555555,0.3888888888888889
tiny11,2048x256,diag,0.6,0.4775390625,18,1.0,0.1480034722222222,0.4277777777777778
tiny11,2048x256,diag,0.65,0.5619140625,18,1.0,0.17296006944444445,0.47500000000000003
tiny11,2048x256,diag,0.7,0.53310546875,18,1.0,0.2074652777777778,0.5277777777777778
tiny11,2048x256,diag,0.75,0.4873046875,18,1.0,0.25439453125,0.55
tiny11,2048x256,diag,0.8,0.484375,18,1.0,0.3130425347222222,0.5944444444444446
tiny11,2048x256,diag,0.85,0.5275390625,18,1.0,0.3821885850694444,0.6638888888888889
tiny11,2048x256,diag,0.9,0.6609375,18,1.0,0.4636773003472222,0.7527777777777778
tiny11,2048x256,diag,0.925,0.6953125,18,1.0,0.5103624131944444,0.7916666666666666
tiny11,2048x256,diag,0.95,0.712109375,18,1.0,0.5665418836805556,0.8194444444444444
tiny11,2048x256,diag,0.975,0.69609375,18,0.6666666666666666,0.6555447048611112,0.8999999999999999
tiny11,2048x256,raw,0.5,0.28779296875,18,1.0,0.2477756076388889,0.43333333333333335
tiny11,2048x256,raw,0.55,0.3333984375,18,1.0,0.2859700520833333,0.4833333333333334
tiny11,2048x256,raw,0.6,0.37607421875,18,1.0,0.3268771701388889,0.5333333333333333
tiny11,2048x256,raw,0.65,0.4541015625,18,1.0,0.3709309895833333,0.5944444444444446
tiny11,2048x256,raw,0.7,0.54140625,18,1.0,0.4187825520833333,0.6666666666666666
tiny11,2048x256,raw,0.75,0.50380859375,18,1.0,0.4756944444444444,0.7
tiny11,2048x256,raw,0.8,0.5154296875,18,1.0,0.5504557291666666,0.7611111111111112
tiny11,2048x256,raw,0.85,0.43603515625,18,1.0,0.6368815104166666,0.8166666666666667
tiny11,2048x256,raw,0.9,0.37880859375,18,1.0,0.7327473958333334,0.8833333333333333
tiny11,2048x256,raw,0.925,0.3384765625,18,1.0,0.7847222222222222,0.9333333333333333
tiny11,2048x256,raw,0.95,0.23886718750000002,18,1.0,0.8401150173611112,0.9333333333333333
tiny11,2048x256,raw,0.975,0.17656249999999996,18,0.0,0.9007161458333334,0.9499999999999998
tiny11,2048x5632,bound,0.5,0.10039062500000001,18,1.0,0.4032660590277778,0.48055555555555557
